DATE,INTDSRBRM193N
1996-10-01,25.78
1996-11-01,25.34
1996-12-01,25.34
1997-01-01,25.05
1997-02-01,24.46
1997-03-01,23.87
1997-04-01,23.58
1997-05-01,23.58
1997-06-01,23.58
1997-07-01,23.58
1997-08-01,23.58
1997-09-01,23.58
1997-10-01,24.5
1997-11-01,46.44
1997-12-01,45.09
1998-01-01,42.9
1998-02-01,42.0
1998-03-01,38.54
1998-04-01,36.55
1998-05-01,33.3
1998-06-01,29.41
1998-07-01,27.8
1998-08-01,25.75
1998-09-01,42.34
1998-10-01,49.75
1998-11-01,44.88
1998-12-01,39.41
1999-01-01,38.25
1999-02-01,41.0
1999-03-01,46.0
1999-04-01,38.85
1999-05-01,29.65
1999-06-01,24.45
1999-07-01,23.15
1999-08-01,21.9
1999-09-01,21.77
1999-10-01,21.29
1999-11-01,21.32
1999-12-01,21.37
2000-01-01,21.32
2000-02-01,21.25
2000-03-01,21.2235405382
2000-04-01,20.9907801801
2000-05-01,20.8829653479
2000-06-01,20.4013885242
2000-07-01,19.1851310555
2000-08-01,18.8530385939
2000-09-01,18.8916878677
2000-10-01,18.9281140576
2000-11-01,18.8366049065
2000-12-01,18.5155840838
2001-01-01,17.7980803128
2001-02-01,17.5039762881
2001-03-01,17.7
2001-04-01,18.34
2001-05-01,18.76
2001-06-01,19.63
2001-07-01,20.94
2001-08-01,21.38
2001-09-01,21.44
2001-10-01,21.44
2001-11-01,21.43
2001-12-01,21.43
2002-01-01,21.43
2002-02-01,21.35
2002-03-01,21.1
2002-04-01,19.5587308308
2002-05-01,19.5493540039
2002-06-01,19.2802389632
2002-07-01,25.259896964
2002-08-01,24.90991575
2002-09-01,24.9679423189
2002-10-01,26.7615680333
2002-11-01,28.5240072004
2002-12-01,30.4163211566
2003-01-01,32.5609651255
2003-02-01,33.2172996482
2003-03-01,33.8952930934
2003-04-01,33.8981399622
2003-05-01,33.8865796087
2003-06-01,33.6514484332
2003-07-01,32.8808519467
2003-08-01,30.9065453839
2003-09-01,28.2808297602
2003-10-01,26.7087161969
2003-11-01,25.4110459386
2003-12-01,23.9240340627
2004-01-01,23.2961701639
2004-02-01,23.2774085048
2004-03-01,23.1632020748
2004-04-01,22.913287178
2004-05-01,22.7167022995
2004-06-01,22.7469886059
2004-07-01,22.7200525253
2004-08-01,22.8130425729
2004-09-01,23.05933515
2004-10-01,23.3943328408
2004-11-01,23.9757387617
2004-12-01,24.5506362834
2005-01-01,25.0065455342
2005-02-01,25.5814618208
2005-03-01,26.1108176888
2005-04-01,26.4754293451
2005-05-01,26.7814931213
2005-06-01,26.9301816682
2005-07-01,26.9057236871
2005-08-01,26.9331559193
2005-09-01,26.7825040359
2005-10-01,26.4068494261
2005-11-01,25.9972169102
2005-12-01,25.3361020812
2006-01-01,24.7112876569
2006-02-01,24.3173874088
2006-03-01,23.7392998856
2006-04-01,23.1661097034
2006-05-01,22.6434377394
2006-06-01,22.0867617086
2006-07-01,21.8780006991
2006-08-01,21.5377066873
2006-09-01,21.0207299315
2006-10-01,20.7877360175
2006-11-01,20.4678853477
2006-12-01,19.9771598876
2007-01-01,19.9172631748
2007-02-01,19.7081554744
2007-03-01,19.50242184
2007-04-01,19.334199764
2007-05-01,19.1758
2007-06-01,18.751611102
2007-07-01,18.4286949777
2007-08-01,18.1153391107
2007-09-01,17.8926025445
2007-10-01,17.8503181611
2007-11-01,17.8508
2007-12-01,17.8508
2008-01-01,17.8488708
2008-02-01,17.8502382
2008-03-01,17.8497294
2008-04-01,18.0519591592
2008-05-01,18.3246189981
2008-06-01,18.8147351329
2008-07-01,19.1061605005
2008-08-01,19.6941904357
2008-09-01,20.1932836039
2008-10-01,20.4846694083
2008-11-01,20.4583997668
2008-12-01,20.4795999576
2009-01-01,20.1237064749
2009-02-01,19.4196
2009-03-01,18.4053174677
2009-04-01,17.7758424083
2009-05-01,16.7690699771
2009-06-01,16.111768205
2009-07-01,15.5461906681
2009-08-01,15.169
2009-09-01,15.169
2009-10-01,15.169
2009-11-01,15.169
2009-12-01,15.1685181607
2010-01-01,15.1684699768
2010-02-01,15.169
2010-03-01,15.169
2010-04-01,15.2456058441
2010-05-01,15.9534
2010-06-01,16.5328139032
2010-07-01,16.9379760884
2010-08-01,17.2996
2010-09-01,17.2996
2010-10-01,17.2996
2010-11-01,17.2996
2010-12-01,17.2996
2011-01-01,17.5042499342
2011-02-01,17.8396699774
2011-03-01,18.3196212771
2011-04-01,18.4398793977
2011-05-01,18.6352
2011-06-01,18.8244253699
2011-07-01,18.9884677899
2011-08-01,19.162895572
2011-09-01,18.614
2011-10-01,18.4011860646
2011-11-01,18.084
2011-12-01,17.5544817974
2012-01-01,17.2607346126
2012-02-01,16.9135360168
2012-03-01,16.2395834861
2012-04-01,15.7370018603
2012-05-01,15.2421915287
2012-06-01,14.8939299768
2012-07-01,14.5558437999
2012-08-01,14.317215249
2012-09-01,13.8334
2012-10-01,13.6646921827
2012-11-01,13.5684
2012-12-01,13.5869345322
2013-01-01,13.5366
2013-02-01,13.5595578068
2013-03-01,13.576348819
2013-04-01,13.6945662653
2013-05-01,13.8691823138
2013-06-01,14.374
2013-07-01,14.7193741915
2013-08-01,14.9520810951
2013-09-01,15.434
2013-10-01,15.8024385624
2013-11-01,16.0168913108
2013-12-01,16.4934952162
2014-01-01,16.7827926473
2014-02-01,17.0504730346
2014-03-01,17.289
2014-04-01,17.5274730792
2014-05-01,17.554
2014-06-01,17.554
2014-07-01,17.554
2014-08-01,17.5555142272
2014-09-01,17.554
2014-10-01,17.5770197976
2014-11-01,17.819
2014-12-01,18.2748
2015-01-01,18.5292
2015-02-01,18.879
2015-03-01,19.336588369
2015-04-01,19.4380946952
2015-05-01,19.939
2015-06-01,20.3931425659
2015-07-01,20.5149946518
2015-08-01,20.999
2015-09-01,20.999
2015-10-01,20.999
2015-11-01,20.999
2015-12-01,20.999
2016-01-01,20.999
2016-02-01,20.999
2016-03-01,20.999
2016-04-01,20.999
2016-05-01,20.999
2016-06-01,20.999
2016-07-01,20.999
2016-08-01,20.999
2016-09-01,20.999
2016-10-01,20.8929302733
2016-11-01,20.734
2016-12-01,20.469
2017-01-01,19.9624820631
2017-02-01,19.5854047695
2017-03-01,18.879
2017-04-01,18.2889392065
2017-05-01,17.819
2017-06-01,16.759
2017-07-01,16.6069789177
2017-08-01,15.699
2017-09-01,14.8502202259
2017-10-01,14.4871445898
2017-11-01,13.034161885
2017-12-01,13.4198022385
2018-01-01,13.314
2018-02-01,13.122548884
2018-03-01,12.9732222424
2018-04-01,12.784
2018-05-01,12.784
2018-06-01,12.784
2018-07-01,12.784
2018-08-01,12.784
2018-09-01,12.784
2018-10-01,12.784
2018-11-01,12.784
2018-12-01,12.784
2019-01-01,12.784
2019-02-01,12.784
2019-03-01,12.784
2019-04-01,12.784
2019-05-01,12.784
2019-06-01,12.784
2019-07-01,12.784
2019-08-01,12.254
2019-09-01,12.0526
2019-10-01,11.7028
2019-11-01,11.194
2019-12-01,10.8654
2020-01-01,10.664
2020-02-01,10.4414
2020-03-01,10.187
2020-04-01,9.869
2020-05-01,9.1906
2020-06-01,8.7348
2020-07-01,8.279
2020-08-01,8.0564
2020-09-01,8.014
2020-10-01,8.014
2020-11-01,8.014
2020-12-01,8.014
2021-01-01,8.014
2021-02-01,8.014
2021-03-01,8.3638
2021-04-01,8.809
2021-05-01,9.4874
2021-06-01,9.9856
2021-07-01,10.399
2021-08-01,11.3106
2021-09-01,11.7558
2021-10-01,12.678
2021-11-01,14.109
2021-12-01,15.2856
2022-01-01,15.699
2022-02-01,17.1194
2022-03-01,17.819
2022-04-01,18.349
2022-05-01,19.2606
2022-06-01,19.6634
2022-07-01,19.939
2022-08-01,20.3948
2022-09-01,20.469
2022-10-01,20.469
