DATE,CPALTT01KRQ657N
2009-01-01,0.722463897019577
2009-04-01,0.954101190117802
2009-07-01,0.563392601545874
2009-10-01,0.147076847652888
2010-01-01,1.2905594529828
2010-04-01,0.639201777292767
2010-07-01,0.769915959877619
2010-10-01,0.498082229686635
2011-01-01,1.88302599677237
2011-04-01,0.778475928803609
2011-07-01,1.09388734114984
2011-10-01,0.159157643435299
2012-01-01,0.950117891128188
2012-04-01,0.207328270976956
2012-07-01,0.285804671051921
2012-10-01,0.263235182143503
2013-01-01,0.793056685652308
2013-04-01,-0.129880380886789
2013-07-01,0.434695138599503
2013-10-01,-0.0311196640507204
2014-01-01,0.853015790095152
2014-04-01,0.343429254637884
2014-07-01,0.210726546948534
2014-10-01,-0.423742268732339
2015-01-01,0.566921545144668
2015-04-01,0.21069246651118
2015-07-01,0.293575788259784
2015-10-01,-0.15319411482198
2016-01-01,0.506632212399344
2016-04-01,0.191780343388096
2016-07-01,0.188623986276837
2016-10-01,0.557846566094196
2017-01-01,1.24758615438922
2017-04-01,-0.0810081931071326
2017-07-01,0.479943624583535
2017-10-01,-0.206653071368533
2018-01-01,0.883591132702429
2018-04-01,0.330389027161576
2018-07-01,0.533892392370457
2018-10-01,0.0288326466022728
2019-01-01,-0.349578863047538
2019-04-01,0.439935960392313
2019-07-01,-0.0730015002143261
2019-10-01,0.279820110855683
2020-01-01,0.317135686620502
2020-04-01,-0.513008427995624
2020-07-01,0.639544617445178
2020-10-01,0.0133084908171399
2021-01-01,1.2840984697272
2021-04-01,0.532089601261278
2021-07-01,0.686095138525865
2021-10-01,0.99941592575765
2022-01-01,1.5389063805179
2022-04-01,2.08194905869327
2022-07-01,1.13442643275579
2022-10-01,0.398418584694594
